Date,Open,High,Low,Close,Adj Close,Volume
2007-04-03,29171.51953125,29516.609375,29171.51953125,29348.08984375,29348.08984375,117003200
2007-04-04,29348.08984375,29427.609375,29203.05078125,29370.939453125,29370.939453125,70744600
2007-04-09,29366.509765625,29726.23046875,29366.509765625,29632.19921875,29632.19921875,78483000
2007-04-10,29668.759765625,29938.6796875,29515.640625,29515.640625,29515.640625,147400500
2007-04-11,29506.6796875,29572.94921875,29248.01953125,29278.75,29278.75,96812400
2007-04-12,29278.75,29664.16015625,28990.490234375,29606.970703125,29606.970703125,153650400
2007-04-13,29606.970703125,29771.66015625,29556.66015625,29762.220703125,29762.220703125,86409200
2007-04-16,29811.5,30057.740234375,29606.55078125,29718.66015625,29718.66015625,92298800
2007-04-17,29717.640625,29852.9296875,29383.130859375,29598.990234375,29598.990234375,91090600
2007-04-18,29597.83984375,29597.83984375,29408.98046875,29559.51953125,29559.51953125,63680400
2007-04-19,29558.75,29615.779296875,29117.0390625,29614.05078125,29614.05078125,92968600
2007-04-20,29614.259765625,29970.5,29614.259765625,29832.48046875,29832.48046875,83544400
2007-04-23,29832.48046875,29835.390625,29527.08984375,29593.849609375,29593.849609375,71264400
2007-04-24,29593.849609375,29677.25,29447.91015625,29544.1796875,29544.1796875,121479400
2007-04-25,29545.939453125,29545.939453125,29346.630859375,29444.150390625,29444.150390625,136940200
2007-04-26,29652.3203125,29839.2109375,29281.75,29342.69921875,29342.69921875,184025200
2007-04-27,29352.740234375,29376.220703125,28738.220703125,29372.9296875,29372.9296875,165218100
2007-04-30,29363.98046875,29413.51953125,28988.80078125,28996.7109375,28996.7109375,90074000
2007-05-02,28996.7109375,29310.26953125,28921.1796875,29259.919921875,29259.919921875,128393200
2007-05-03,29267.91015625,29755.4609375,29267.91015625,29752.94921875,29752.94921875,144567600
2007-05-04,29752.94921875,30053.919921875,29741.009765625,30013.849609375,30013.849609375,139624200
2007-05-07,30013.849609375,30159.130859375,29776.5703125,29776.5703125,29776.5703125,78632200
2007-05-08,29759.41015625,29759.41015625,29296.099609375,29572.400390625,29572.400390625,95791000
2007-05-09,29572.69921875,29992.869140625,29551.759765625,29992.830078125,29992.830078125,93486600
2007-05-10,29992.080078125,29993.150390625,29637.599609375,29653.8203125,29653.8203125,128558300
2007-05-11,29653.8203125,30125.30078125,29653.8203125,30058.75,30058.75,90473200
2007-05-14,30058.75,30172.810546875,29665.990234375,29766.330078125,29766.330078125,91215400
2007-05-15,29766.859375,29927.349609375,29619.23046875,29619.91015625,29619.91015625,122696900
2007-05-16,29618.580078125,30341.25,29611.310546875,30341.25,30341.25,160769600
2007-05-17,30341.25,30535.890625,30102.83984375,30478.369140625,30478.369140625,140742900
2007-05-18,30490.310546875,30879.140625,30490.310546875,30676.33984375,30676.33984375,125242800
2007-05-21,30677.1796875,30894.26953125,30677.1796875,30708.73046875,30708.73046875,86548200
2007-05-22,30707.26953125,30802.439453125,30566.23046875,30802.25,30802.25,104796200
2007-05-23,30801.029296875,31171.599609375,30691.259765625,30869.83984375,30869.83984375,185620600
2007-05-24,30869.83984375,30978.009765625,30299.470703125,30338.580078125,30338.580078125,105354600
2007-05-25,30338.580078125,30700.349609375,30338.580078125,30700.009765625,30700.009765625,135084500
2007-05-28,30687.560546875,30928.4296875,30625.609375,30928.4296875,30928.4296875,26107000
2007-05-29,30932.16015625,31053.33984375,30492.58984375,30664.73046875,30664.73046875,180394300
2007-05-30,30575.220703125,31383.9609375,30324.369140625,31380.0,31380.0,183613600
2007-05-31,31376.650390625,32029.44921875,31376.650390625,31398.9609375,31398.9609375,231538800
2007-06-01,31402.970703125,31950.439453125,31380.58984375,31946.400390625,31946.400390625,205132500
2007-06-04,31946.400390625,32096.2109375,31822.26953125,32096.2109375,32096.2109375,81201800
2007-06-05,32096.2109375,32274.509765625,31816.650390625,32271.380859375,32271.380859375,113046200
2007-06-06,32271.380859375,32273.810546875,31588.44921875,31681.759765625,31681.759765625,124936200
2007-06-07,31669.55078125,31870.859375,30647.240234375,31184.490234375,31184.490234375,155096700
2007-06-08,31184.490234375,31479.5,31020.7109375,31466.599609375,31466.599609375,125946600
2007-06-11,31466.599609375,31916.759765625,31444.990234375,31833.439453125,31833.439453125,97858400
2007-06-12,31831.76953125,31885.0390625,31448.060546875,31608.58984375,31608.58984375,116788700
2007-06-13,31638.369140625,31888.529296875,31513.369140625,31884.060546875,31884.060546875,115976400
2007-06-14,31884.060546875,32216.609375,31884.060546875,32114.08984375,32114.08984375,145288500
2007-06-15,32129.080078125,32564.349609375,32124.01953125,32128.970703125,32128.970703125,183445800
2007-06-18,32128.970703125,32382.349609375,32109.05078125,32218.169921875,32218.169921875,89658600
2007-06-19,32156.3203125,32156.609375,31913.630859375,32064.990234375,32064.990234375,121020600
2007-06-20,32134.16015625,32256.439453125,31505.48046875,31550.759765625,31550.759765625,150530000
2007-06-21,31533.9609375,31831.51953125,31248.2890625,31830.83984375,31830.83984375,125661000
2007-06-22,31830.080078125,31873.859375,31565.599609375,31642.259765625,31642.259765625,95325200
2007-06-25,31643.7890625,31655.5390625,31235.48046875,31296.009765625,31296.009765625,79390800
2007-06-26,31298.08984375,31394.619140625,30744.640625,30744.7109375,30744.7109375,117668500
2007-06-27,30646.94921875,30892.439453125,30267.0,30804.2109375,30804.2109375,177508100
2007-06-28,30801.919921875,31112.349609375,30792.0390625,31079.240234375,31079.240234375,124544100
2007-06-29,31037.23046875,31377.779296875,30927.580078125,31151.05078125,31151.05078125,119476000
2007-07-02,31151.05078125,31434.400390625,31151.05078125,31420.689453125,31420.689453125,138462500
2007-07-03,31420.94921875,32117.849609375,31410.740234375,32117.830078125,32117.830078125,142022000
2007-07-04,32115.08984375,32407.169921875,32115.08984375,32201.630859375,32201.630859375,63752600
2007-07-05,32183.75,32311.349609375,32016.58984375,32177.830078125,32177.830078125,111582000
2007-07-06,32177.7890625,32555.359375,32146.2109375,32411.83984375,32411.83984375,142534400
2007-07-09,32411.83984375,32538.08984375,32064.740234375,32088.25,32088.25,143479400
