Date,Open,High,Low,Close,Adj Close,Volume
2017-03-30,49032.08984375,49068.48046875,48719.62890625,48863.30078125,48863.30078125,141769700
2017-03-31,48863.12890625,48925.44140625,48541.55859375,48541.55859375,48541.55859375,242628600
2017-04-03,48549.23046875,49008.80859375,48461.26953125,48819.0703125,48819.0703125,109546900
2017-04-04,48799.08984375,49342.80078125,48791.4296875,49342.76953125,49342.76953125,188628300
2017-04-05,49339.23828125,49560.8984375,49118.2109375,49207.609375,49207.609375,214897000
2017-04-06,49207.76953125,49313.73046875,48838.8515625,49012.421875,49012.421875,132479200
2017-04-07,49012.21875,49393.25,48887.078125,49343.640625,49343.640625,116844000
2017-04-10,49339.6484375,49590.8515625,49163.30859375,49540.26171875,49540.26171875,81926600
2017-04-11,49540.76171875,49753.5703125,49102.80078125,49637.9296875,49637.9296875,112015500
2017-04-12,49607.2890625,49661.078125,48871.890625,48955.8203125,48955.8203125,126062800
2017-04-17,48969.0390625,49222.9609375,48844.01171875,49011.55859375,49011.55859375,112262300
2017-04-18,49010.21875,49012.58984375,48335.98046875,48762.53125,48762.53125,121096300
2017-04-19,48765.55078125,48975.44140625,48727.6796875,48873.83984375,48873.83984375,163694400
2017-04-20,48882.26953125,49145.91015625,48741.05078125,49144.9609375,49144.9609375,166674700
2017-04-21,49131.73828125,49131.73828125,48727.73828125,48967.828125,48967.828125,106781600
2017-04-24,48969.69140625,49504.58984375,48969.69140625,49413.26171875,49413.26171875,123272600
2017-04-25,49411.33984375,49821.46875,49411.33984375,49808.05078125,49808.05078125,226004300
2017-04-26,49807.8515625,50147.0390625,49130.5,49565.16015625,49565.16015625,246934400
2017-04-27,49552.3203125,49649.46875,49184.12109375,49440.9609375,49440.9609375,235220900
2017-04-28,49444.98046875,49478.26171875,49151.8984375,49261.328125,49261.328125,136204200
2017-05-02,49260.12109375,49646.609375,49220.76953125,49588.83984375,49588.83984375,182421900
2017-05-03,49540.30078125,49757.9609375,49070.30859375,49099.98046875,49099.98046875,146088900
2017-05-04,49098.05859375,49312.0703125,48867.37109375,48998.109375,48998.109375,157693300
2017-05-05,48994.6796875,49485.73828125,48963.87890625,49485.671875,49485.671875,150140300
2017-05-08,49491.421875,49582.48828125,49346.08984375,49505.859375,49505.859375,108643700
2017-05-09,49503.0390625,50026.55859375,49503.0390625,49939.46875,49939.46875,163963400
2017-05-10,49941.48828125,50154.328125,49850.1015625,49930.5390625,49930.5390625,177816000
2017-05-11,49930.73046875,49937.0703125,49458.05859375,49530.53125,49530.53125,183473200
2017-05-12,49531.87109375,49566.94921875,49228.5390625,49426.078125,49426.078125,156644800
2017-05-15,49433.94921875,49733.5,49338.73046875,49678.9609375,49678.9609375,161443500
2017-05-16,49680.1015625,49817.30859375,49404.62890625,49459.62109375,49459.62109375,224573600
2017-05-17,49457.8984375,49460.96875,48731.5390625,48747.94921875,48747.94921875,210945200
2017-05-18,48759.26171875,48759.26171875,48146.0,48322.23828125,48322.23828125,182504900
2017-05-19,48322.23828125,49172.6484375,48274.62109375,49067.46875,49067.46875,201004300
2017-05-22,49056.73046875,49415.890625,48793.23828125,48943.4609375,48943.4609375,160767200
2017-05-23,48945.98046875,49119.8984375,48771.76953125,49042.51953125,49042.51953125,141986200
2017-05-24,49045.140625,49581.98828125,49045.140625,49494.3984375,49494.3984375,153607000
2017-05-25,49502.26171875,49696.98828125,49319.91015625,49410.921875,49410.921875,132232600
2017-05-26,49411.73046875,49741.80859375,49195.26953125,49688.26953125,49688.26953125,136585500
2017-05-29,49676.03125,49701.28125,49332.55078125,49450.48046875,49450.48046875,29819000
2017-05-30,49452.19921875,49634.109375,49089.08984375,49277.94921875,49277.94921875,100187200
